Alabama,Auburn,Auburn University
Alabama,Florence,University of North Alabama
Alabama,Jacksonville,Jacksonville State University
Alabama,Livingston,University of West Alabama
Alabama,Montevallo,University of Montevallo
Alabama,Troy,Troy University
Alabama,Tuscaloosa,University of Alabama
Alabama,Tuscaloosa,Stillman College
Alabama,Tuscaloosa,Shelton State
Alabama,Tuskegee,Tuskegee University
Alaska,Fairbanks,University of Alaska Fairbanks
Arizona,Flagstaff,Northern Arizona University
Arizona,Tempe,Arizona State University
Arizona,Tucson,University of Arizona
Arkansas,Arkadelphia,Henderson State University
Arkansas,Arkadelphia,Ouachita Baptist University
Arkansas,Conway,Central Baptist College
Arkansas,Conway,Hendrix College
Arkansas,Conway,University of Central Arkansas
Arkansas,Fayetteville,University of Arkansas
Arkansas,Jonesboro,Arkansas State University
Arkansas,Magnolia,Southern Arkansas University
Arkansas,Monticello,University of Arkansas at Monticello
Arkansas,Russellville,Arkansas Tech University
Arkansas,Searcy,Harding University
California,Angwin,Pacific Union College
California,Arcata,Humboldt State University
California,Berkeley,University of California
California,Berkeley,Berkeley
California,Chico,California State University
California,Chico,Chico
California,Claremont,Claremont McKenna College
California,Claremont,Pomona College
California,Claremont,Harvey Mudd College
California,Claremont,Scripps College
California,Claremont,Pitzer College
California,Claremont,Keck Graduate Institute
California,Claremont,Claremont Graduate University
California,Cotati,California State University
California,Cotati,Sonoma
California,Davis,University of California
California,Davis,Davis
California,Irvine,University of California
California,Irvine,Irvine
California,Isla Vista,University of California
California,Isla Vista,Santa Barbara
California,University Park, Los Angeles,University of Southern California
California,Merced,University of California
California,Merced,Merced
California,Orange,Chapman University
California,Palo Alto,Stanford University
California,Pomona,Cal Poly Pomona
California,Pomona,WesternU
California,Redlands,University of Redlands
California,Riverside,University of California
California,Riverside,Riverside
California,Riverside,California Baptist University
California,Riverside,La Sierra University
California,Sacramento,California State University
California,Sacramento,Sacramento
California,University District, San Bernardino,California State University
California,University District, San Bernardino,San Bernardino
California,University District, San Bernardino,American Sports University
California,San Diego,University of California
California,San Diego,San Diego
California,San Diego,San Diego State University
California,San Luis Obispo,California Polytechnic State University
California,Santa Barbara,Fielding Graduate University
California,Santa Barbara,Santa Barbara City College
California,Santa Barbara,University of California
California,Santa Barbara,Santa Barbara
California,Santa Barbara,Westmont College
California,Santa Cruz,University of California
California,Santa Cruz,Santa Cruz
California,Turlock,California State University
California,Turlock,Stanislaus
California,Westwood, Los Angeles,University of California
California,Westwood, Los Angeles,Los Angeles
California,Whittier,Whittier CollegeRio Hondo College
Colorado,Alamosa,Adams State College
Colorado,Boulder,University of Colorado at Boulder
Colorado,Durango,Fort Lewis College
Colorado,Fort Collins,Colorado State University
Colorado,Golden,Colorado School of Mines
Colorado,Grand Junction,Colorado Mesa University
Colorado,Greeley,University of Northern Colorado
Colorado,Gunnison,Western State College
Colorado,Pueblo, Colorado,Colorado State University-Pueblo
Connecticut,Fairfield,Fairfield University
Connecticut,Fairfield,Sacred Heart University
Connecticut,Middletown,Wesleyan University
Connecticut,New Britain,Central Connecticut State University
Connecticut,New Haven,Yale University
Connecticut,New Haven,University of New Haven
